"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2025","26.84","26.71","26.88","26.58","7.42M","0.85%"
"01/29/2025","26.62","26.80","27.07","26.57","34.42M","-0.49%"
"01/28/2025","26.75","26.78","26.86","26.49","40.59M","-0.41%"
"01/27/2025","26.86","26.24","26.97","26.18","50.65M","2.95%"
"01/24/2025","26.09","26.02","26.20","25.96","31.30M","-1.32%"
"01/23/2025","26.44","26.01","26.48","25.85","40.99M","1.65%"
"01/22/2025","26.01","26.51","26.60","25.97","41.89M","-2.36%"
"01/21/2025","26.64","26.45","26.64","26.39","39.75M","1.29%"
"01/17/2025","26.30","26.40","26.56","26.22","35.38M","-0.72%"
"01/16/2025","26.49","26.07","26.57","25.96","29.98M","1.03%"
"01/15/2025","26.22","26.51","26.65","26.21","35.95M","-0.72%"
"01/14/2025","26.41","26.81","26.87","26.27","25.86M","-1.46%"
"01/13/2025","26.80","26.65","26.81","26.36","28.36M","0.30%"
"01/10/2025","26.72","26.87","27.05","26.69","32.84M","-0.52%"
"01/08/2025","26.86","27.05","27.14","26.23","35.43M","-1.00%"
"01/07/2025","27.13","27.01","27.57","26.94","35.03M","0.89%"
"01/06/2025","26.89","26.71","27.25","26.56","43.95M","1.13%"
"01/03/2025","26.59","26.70","26.84","26.52","33.42M","-0.08%"
"01/02/2025","26.61","26.75","26.86","26.56","32.90M","0.30%"
"12/31/2024","26.53","26.40","26.65","26.36","27.09M","0.42%"
"12/30/2024","26.42","26.48","26.58","26.24","32.86M","-0.75%"
"12/27/2024","26.62","26.43","26.85","26.42","35.22M","0.23%"
"12/26/2024","26.56","26.64","26.72","26.48","31.51M","-0.67%"
"12/24/2024","26.74","26.59","26.77","26.38","19.72M","0.11%"
"12/23/2024","26.71","26.36","26.75","26.19","35.35M","1.33%"
"12/20/2024","26.36","25.70","26.49","25.70","116.34M","2.29%"
"12/19/2024","25.77","25.70","26.09","25.58","50.32M","-0.46%"
"12/18/2024","25.89","26.19","26.52","25.86","47.58M","-2.04%"
"12/17/2024","26.43","25.90","26.46","25.86","71.44M","4.67%"
"12/16/2024","25.25","25.59","25.75","25.22","40.19M","-1.29%"
"12/13/2024","25.58","25.34","25.66","25.26","29.04M","0.83%"
"12/12/2024","25.37","25.18","25.48","25.06","38.71M","0.55%"
"12/11/2024","25.23","25.38","25.51","25.17","39.57M","-1.33%"
"12/10/2024","25.57","26.10","26.11","25.51","43.28M","-2.03%"
"12/09/2024","26.10","25.76","26.44","25.58","37.46M","1.44%"
"12/06/2024","25.73","25.74","26.10","25.59","31.83M","0.12%"
"12/05/2024","25.70","25.23","25.79","25.14","43.65M","1.86%"
"12/04/2024","25.23","25.45","25.50","25.18","42.54M","-1.29%"
"12/03/2024","25.56","25.83","25.90","25.52","49.06M","-1.01%"
"12/02/2024","25.82","26.07","26.22","25.73","43.87M","-1.49%"
"11/29/2024","26.21","25.83","26.23","25.77","22.02M","1.47%"
"11/27/2024","25.83","25.76","25.95","25.70","28.24M","0.23%"
"11/26/2024","25.77","26.16","26.24","25.61","33.00M","-1.53%"
"11/25/2024","26.17","25.75","26.45","25.74","57.71M","2.03%"
"11/22/2024","25.65","25.18","25.75","25.10","41.90M","2.07%"
"11/21/2024","25.13","24.87","25.22","24.77","45.05M","0.76%"
"11/20/2024","24.94","25.07","25.10","24.65","46.17M","-0.64%"
"11/19/2024","25.10","24.70","25.11","24.61","52.38M","0.97%"
"11/18/2024","24.86","24.97","25.25","24.70","64.26M","0.24%"
"11/15/2024","24.80","25.70","25.70","24.48","131.07M","-4.69%"
"11/14/2024","26.02","26.74","26.85","25.84","45.26M","-2.62%"
"11/13/2024","26.72","26.23","26.75","25.98","47.98M","2.02%"
"11/12/2024","26.19","26.23","26.44","25.95","53.04M","-0.19%"
"11/11/2024","26.24","26.72","26.83","26.22","54.33M","-1.80%"
"11/08/2024","26.72","27.11","27.15","26.71","55.95M","-2.69%"
"11/07/2024","27.46","27.53","27.59","27.34","48.48M","0.37%"
"11/06/2024","27.36","27.93","27.99","27.08","65.75M","-2.25%"
"11/05/2024","27.99","27.74","28.00","27.58","44.18M","0.83%"
"11/04/2024","27.76","28.10","28.14","27.73","41.35M","-1.17%"
"11/01/2024","28.09","28.48","28.54","28.05","46.89M","-0.74%"
"10/31/2024","28.30","28.45","28.64","28.29","37.91M","-0.77%"
"10/30/2024","28.52","28.31","28.60","28.19","47.10M","0.21%"
"10/29/2024","28.46","29.01","29.17","28.02","102.27M","-1.39%"
"10/28/2024","28.86","28.60","28.94","28.56","37.92M","1.44%"
"10/25/2024","28.45","28.68","28.73","28.44","26.09M","-0.66%"
"10/24/2024","28.64","28.86","28.98","28.50","31.47M","-0.76%"
"10/23/2024","28.86","28.87","29.11","28.67","22.22M","0.07%"
"10/22/2024","28.84","28.90","28.99","28.60","29.04M","-0.31%"
"10/21/2024","28.93","29.22","29.22","28.88","23.40M","-0.99%"
"10/18/2024","29.22","29.30","29.36","29.08","24.24M","-0.17%"
"10/17/2024","29.27","29.48","29.53","29.22","23.78M","-1.35%"
"10/16/2024","29.67","29.50","29.82","29.43","28.41M","0.78%"
"10/15/2024","29.44","29.09","29.74","29.07","29.01M","1.24%"
"10/14/2024","29.08","29.16","29.17","28.85","23.59M","-0.27%"
"10/11/2024","29.16","29.36","29.44","28.95","29.62M","-0.61%"
"10/10/2024","29.34","29.89","30.08","29.28","34.35M","-2.82%"
"10/09/2024","30.19","29.22","30.43","29.10","44.24M","3.46%"
"10/08/2024","29.18","29.21","29.49","29.00","29.13M","-0.07%"
"10/07/2024","29.20","29.37","29.84","29.11","51.43M","2.17%"
"10/04/2024","28.58","28.29","28.59","28.24","28.79M","0.85%"
"10/03/2024","28.34","28.50","28.52","28.26","25.68M","-0.94%"
"10/02/2024","28.61","28.60","28.77","28.38","24.96M","-0.21%"
"10/01/2024","28.67","29.05","29.08","28.53","30.73M","-0.93%"
"09/30/2024","28.94","29.11","29.19","28.78","27.48M","-0.52%"
"09/27/2024","29.09","29.02","29.23","28.92","25.01M","0.41%"
"09/26/2024","28.97","28.48","29.01","28.31","32.31M","0.14%"
"09/25/2024","28.93","29.60","29.71","28.91","30.71M","-1.93%"
"09/24/2024","29.50","29.25","29.59","29.15","21.45M","0.65%"
"09/23/2024","29.31","29.43","29.47","29.18","23.13M","-0.37%"
"09/20/2024","29.42","29.54","29.55","29.23","56.88M","-0.81%"
"09/19/2024","29.66","29.89","30.35","29.52","22.65M","-0.30%"
"09/18/2024","29.75","30.00","30.14","29.73","25.81M","-0.27%"
"09/17/2024","29.83","30.05","30.14","29.60","27.06M","-0.80%"
"09/16/2024","30.07","29.57","30.14","29.44","29.22M","2.73%"
"09/13/2024","29.27","29.16","29.32","28.99","19.99M","0.38%"
"09/12/2024","29.16","29.58","29.71","28.76","32.54M","-1.69%"
"09/11/2024","29.66","29.68","29.70","29.14","31.94M","-0.27%"
"09/10/2024","29.74","29.42","29.75","29.19","32.38M","1.12%"
"09/09/2024","29.41","28.54","29.59","28.45","36.56M","2.98%"
"09/06/2024","28.56","28.56","28.77","28.28","31.21M","0.18%"
"09/05/2024","28.51","28.43","28.80","28.35","25.93M","0.42%"
"09/04/2024","28.39","28.29","28.54","28.20","23.51M","0.32%"
"09/03/2024","28.30","28.65","28.92","28.14","44.50M","-2.45%"
"08/30/2024","29.01","28.72","29.05","28.67","37.14M","1.01%"
"08/29/2024","28.72","28.87","28.89","28.53","19.23M","-0.10%"
"08/28/2024","28.75","28.78","29.08","28.64","19.87M","-0.24%"
"08/27/2024","28.82","28.98","29.04","28.56","16.18M","-0.35%"
"08/26/2024","28.92","28.92","29.05","28.77","16.51M","0.07%"
"08/23/2024","28.90","28.82","28.94","28.64","21.89M","0.42%"
"08/22/2024","28.78","29.02","29.13","28.54","20.24M","-0.86%"
"08/21/2024","29.03","28.98","29.17","28.93","16.73M","0.45%"
"08/20/2024","28.90","28.80","29.19","28.80","21.30M","0.35%"
"08/19/2024","28.80","28.35","28.89","28.28","26.38M","1.77%"
"08/16/2024","28.30","28.65","28.65","27.85","50.33M","-1.43%"
"08/15/2024","28.71","28.93","29.01","28.52","28.68M","-0.59%"
"08/14/2024","28.88","28.80","29.18","28.67","23.68M","0.10%"
"08/13/2024","28.85","28.55","28.95","28.31","34.62M","1.41%"
"08/12/2024","28.45","28.58","28.61","28.32","21.14M","-0.35%"
"08/09/2024","28.55","28.65","28.75","28.45","25.80M","-0.73%"
"08/08/2024","28.76","28.93","29.00","28.53","32.09M","-0.31%"
"08/07/2024","28.85","29.63","29.81","28.74","32.87M","-1.60%"
"08/06/2024","29.32","29.73","30.05","29.25","29.03M","-1.41%"
"08/05/2024","29.74","29.09","30.01","28.85","37.84M","-2.27%"
"08/02/2024","30.43","30.88","31.32","30.01","42.36M","-0.72%"
"08/01/2024","30.65","30.72","30.81","29.91","39.75M","0.36%"
"07/31/2024","30.54","31.20","31.26","30.47","40.98M","-2.71%"
"07/30/2024","31.39","31.01","31.54","29.78","89.86M","2.18%"
"07/29/2024","30.72","30.69","30.93","30.44","41.71M","-0.16%"
"07/26/2024","30.77","30.15","30.88","30.01","35.66M","1.95%"
"07/25/2024","30.18","29.97","30.93","29.97","42.30M","0.67%"
"07/24/2024","29.98","29.51","29.99","29.31","29.58M","1.63%"
"07/23/2024","29.50","29.62","29.64","29.33","25.53M","-0.34%"
"07/22/2024","29.60","30.11","30.23","29.38","46.48M","-1.23%"
"07/19/2024","29.97","29.94","30.00","29.55","30.02M","0.88%"
"07/18/2024","29.71","29.91","30.69","29.63","47.28M","-1.07%"
"07/17/2024","30.03","29.42","30.30","29.31","45.39M","1.80%"
"07/16/2024","29.50","29.20","29.56","29.12","26.91M","1.37%"
"07/15/2024","29.10","29.03","29.27","28.83","30.53M","0.62%"
"07/12/2024","28.92","28.90","29.14","28.79","28.40M","0.91%"
"07/11/2024","28.66","28.78","29.23","28.42","47.32M","1.09%"
"07/10/2024","28.35","27.83","28.41","27.80","29.87M","2.27%"
"07/09/2024","27.72","27.88","27.94","27.30","36.88M","-0.75%"
"07/08/2024","27.93","28.05","28.12","27.79","25.69M","-0.43%"
"07/05/2024","28.05","27.76","28.09","27.67","17.27M","1.26%"
"07/03/2024","27.70","27.92","28.05","27.61","15.18M","-0.47%"
"07/02/2024","27.83","28.22","28.28","27.69","21.99M","-1.38%"
"07/01/2024","28.22","27.95","28.63","27.94","26.21M","0.86%"
"06/28/2024","27.98","27.78","28.12","27.64","33.19M","0.65%"
"06/27/2024","27.80","27.37","27.83","27.07","28.40M","1.39%"
"06/26/2024","27.42","27.91","27.93","27.07","30.75M","-2.04%"
"06/25/2024","27.99","28.40","28.45","27.93","26.30M","-1.30%"
"06/24/2024","28.36","27.95","28.41","27.73","35.41M","2.24%"
"06/21/2024","27.74","27.77","27.89","27.56","52.56M","0.00%"
"06/20/2024","27.74","27.20","27.96","27.15","29.69M","1.20%"
"06/18/2024","27.41","26.98","27.46","26.95","29.82M","1.59%"
"06/17/2024","26.98","27.45","27.48","26.87","32.19M","-2.00%"
"06/14/2024","27.53","27.75","28.22","27.43","29.46M","-0.43%"
"06/13/2024","27.65","27.50","27.72","27.20","33.95M","-0.04%"
"06/12/2024","27.66","28.17","28.23","27.56","32.51M","-1.32%"
"06/11/2024","28.03","27.95","28.33","27.89","29.57M","-0.14%"
"06/10/2024","28.07","28.35","28.35","27.63","37.00M","-1.78%"
"06/07/2024","28.58","28.75","29.05","28.55","27.53M","-0.76%"
"06/06/2024","28.80","29.36","29.54","28.79","35.36M","-2.54%"
"06/05/2024","29.55","29.56","29.62","29.17","27.35M","0.20%"
"06/04/2024","29.49","29.30","29.73","29.17","46.31M","0.61%"
"06/03/2024","29.31","28.66","29.53","28.64","38.18M","2.27%"
"05/31/2024","28.66","28.34","28.75","28.24","78.29M","1.63%"
"05/30/2024","28.20","27.91","28.20","27.78","23.33M","1.37%"
"05/29/2024","27.82","28.16","28.17","27.69","24.24M","-1.70%"
"05/28/2024","28.30","28.80","28.88","28.13","32.37M","-2.01%"
"05/24/2024","28.88","28.67","28.99","28.55","22.59M","0.66%"
"05/23/2024","28.69","29.43","29.43","28.67","42.03M","-3.07%"
"05/22/2024","29.60","28.47","29.63","28.42","46.99M","3.64%"
"05/21/2024","28.56","28.47","28.67","28.32","28.12M","0.11%"
"05/20/2024","28.53","28.66","28.71","28.46","22.42M","-0.38%"
"05/17/2024","28.64","28.90","28.91","28.51","26.11M","-0.97%"
"05/16/2024","28.92","28.87","29.03","28.67","40.08M","0.35%"
"05/15/2024","28.82","28.49","28.99","28.48","38.38M","1.55%"
"05/14/2024","28.38","28.55","28.68","28.19","23.53M","-0.21%"
"05/13/2024","28.44","28.19","28.65","28.17","39.61M","1.54%"
"05/10/2024","28.01","28.24","28.28","27.92","25.85M","-0.60%"
"05/09/2024","28.18","27.76","28.25","27.32","47.83M","-0.32%"
"05/08/2024","28.27","27.70","28.34","27.52","39.09M","1.80%"
"05/07/2024","27.77","28.29","28.49","27.40","65.61M","-1.38%"
"05/06/2024","28.16","27.98","28.33","27.96","59.90M","1.26%"
"05/03/2024","27.81","27.86","27.91","27.52","60.57M","0.40%"
"05/02/2024","27.70","27.21","27.94","27.12","69.65M","1.91%"
"05/01/2024","27.18","26.33","27.45","26.02","97.52M","6.09%"
"04/30/2024","25.62","25.65","25.83","25.58","38.02M","-0.08%"
"04/29/2024","25.64","25.58","25.85","25.54","41.67M","0.94%"
"04/26/2024","25.40","25.33","25.54","25.20","46.53M","0.55%"
"04/25/2024","25.26","26.27","26.43","25.25","47.66M","-3.84%"
"04/24/2024","26.27","26.25","26.34","26.04","24.55M","-0.19%"
"04/23/2024","26.32","26.33","26.47","26.19","24.30M","0.23%"
"04/22/2024","26.26","26.00","26.50","25.92","35.68M","1.00%"
"04/19/2024","26.00","25.39","26.00","25.35","38.37M","2.40%"
"04/18/2024","25.39","25.35","25.46","25.23","35.79M","-0.12%"
"04/17/2024","25.42","25.69","25.69","25.26","43.83M","-1.05%"
"04/16/2024","25.69","25.82","25.99","25.68","28.89M","-0.85%"
"04/15/2024","25.91","25.91","26.17","25.75","35.66M","0.19%"
"04/12/2024","25.86","26.25","26.32","25.83","43.03M","-1.82%"
"04/11/2024","26.34","26.35","26.45","26.13","32.81M","0.08%"
"04/10/2024","26.32","26.52","26.59","26.16","44.54M","-1.72%"
"04/09/2024","26.78","26.77","27.42","26.65","45.19M","0.75%"
"04/08/2024","26.58","26.60","26.82","26.52","24.43M","-0.30%"
"04/05/2024","26.66","26.56","26.70","26.35","39.88M","0.04%"
"04/04/2024","26.65","27.31","27.40","26.64","41.92M","-2.09%"
"04/03/2024","27.22","27.51","27.75","27.20","36.83M","-1.20%"
"04/02/2024","27.55","27.57","27.75","27.41","32.45M","-0.61%"
"04/01/2024","27.72","27.76","27.87","27.58","26.60M","-0.11%"
"03/28/2024","27.75","27.82","28.12","27.72","40.47M","-0.11%"
"03/27/2024","27.78","27.71","27.93","27.54","34.25M","0.69%"
"03/26/2024","27.59","27.45","27.63","27.31","38.22M","0.58%"
"03/25/2024","27.43","27.24","27.48","27.10","31.11M","0.26%"
"03/22/2024","27.36","27.47","27.84","27.34","28.83M","-1.08%"
"03/21/2024","27.66","27.75","28.03","27.63","29.63M","-0.14%"
"03/20/2024","27.70","27.48","27.74","27.21","34.47M","0.25%"
"03/19/2024","27.63","27.67","27.78","27.32","29.03M","-0.32%"
"03/18/2024","27.72","28.01","28.02","27.61","36.23M","-0.79%"
"03/15/2024","27.94","27.96","28.28","27.86","75.73M","-0.68%"
"03/14/2024","28.13","28.25","28.28","27.77","36.43M","-0.32%"
"03/13/2024","28.22","28.29","28.69","28.19","39.27M","0.75%"
"03/12/2024","28.01","28.31","28.34","27.76","48.76M","-1.27%"
"03/11/2024","28.37","27.31","28.39","27.31","52.60M","4.22%"
"03/08/2024","27.22","26.88","27.30","26.85","45.91M","1.61%"
"03/07/2024","26.79","27.20","27.32","26.76","46.42M","-1.47%"
"03/06/2024","27.19","26.90","27.30","26.78","84.92M","4.26%"
"03/05/2024","26.08","25.87","26.42","25.69","73.65M","0.73%"
"03/04/2024","25.89","26.30","26.46","25.61","86.78M","-2.63%"
"03/01/2024","26.59","26.83","26.90","26.51","46.39M","0.11%"
"02/29/2024","26.56","27.07","27.19","26.55","54.64M","-1.78%"
"02/28/2024","27.04","26.96","27.24","26.82","31.01M","0.56%"
"02/27/2024","26.89","27.12","27.20","26.81","38.60M","-1.07%"
"02/26/2024","27.18","27.67","27.67","27.07","45.69M","-2.09%"
"02/23/2024","27.76","27.75","28.09","27.69","33.18M","0.76%"
"02/22/2024","27.55","27.59","27.69","27.18","31.96M","-0.43%"
"02/21/2024","27.67","27.60","27.67","27.35","27.37M","0.29%"
"02/20/2024","27.59","27.61","28.14","27.52","34.23M","-0.11%"
"02/16/2024","27.62","27.55","27.89","27.21","35.94M","0.40%"
"02/15/2024","27.51","27.25","27.81","27.22","36.11M","1.48%"
"02/14/2024","27.11","27.01","27.17","26.91","25.27M","0.52%"
"02/13/2024","26.97","27.54","27.83","26.86","37.93M","-2.49%"
"02/12/2024","27.66","27.54","28.02","27.52","30.32M","0.36%"
"02/09/2024","27.56","27.56","27.59","27.38","29.06M","-0.04%"
"02/08/2024","27.57","27.56","27.69","27.41","29.05M","0.04%"
"02/07/2024","27.56","27.55","27.65","27.30","36.84M","0.22%"
"02/06/2024","27.50","26.66","27.73","26.57","56.99M","3.50%"
"02/05/2024","26.57","26.94","26.94","26.52","42.63M","-1.34%"
"02/02/2024","26.93","27.18","27.20","26.69","51.72M","-1.32%"
"02/01/2024","27.29","27.10","27.33","26.73","53.88M","0.78%"
"01/31/2024","27.08","27.17","27.51","26.78","81.19M","0.22%"
"01/30/2024","27.02","27.89","28.37","26.95","86.07M","-1.67%"
