"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2025","110.08","117.60","117.88","109.64","19.51M","-17.72%"
"01/29/2025","133.78","136.03","136.58","133.63","4.26M","-1.21%"
"01/28/2025","135.42","135.76","136.99","135.35","3.09M","-0.62%"
"01/27/2025","136.26","133.90","136.86","133.74","4.94M","2.43%"
"01/24/2025","133.03","133.40","133.90","132.53","3.21M","-0.43%"
"01/23/2025","133.61","132.94","133.67","132.01","3.28M","0.80%"
"01/22/2025","132.55","132.66","133.43","131.25","4.42M","-0.24%"
"01/21/2025","132.87","130.42","133.57","130.15","5.28M","2.42%"
"01/17/2025","129.73","130.15","130.58","129.43","4.26M","-0.16%"
"01/16/2025","129.94","129.51","130.66","128.77","5.47M","1.94%"
"01/15/2025","127.47","127.50","127.96","126.58","4.32M","1.30%"
"01/14/2025","125.84","125.37","125.93","124.56","4.25M","0.66%"
"01/13/2025","125.01","123.34","125.17","121.56","6.94M","1.40%"
"01/10/2025","123.28","125.01","125.43","122.90","5.23M","-2.75%"
"01/08/2025","126.76","125.91","126.78","125.22","4.54M","1.42%"
"01/07/2025","124.98","125.18","127.08","124.01","3.73M","0.62%"
"01/06/2025","124.21","124.70","125.00","123.81","5.05M","0.34%"
"01/03/2025","123.79","123.96","124.33","122.76","3.49M","-0.06%"
"01/02/2025","123.87","127.04","127.22","123.54","3.05M","-1.77%"
"12/31/2024","126.10","125.38","126.13","125.04","3.40M","0.62%"
"12/30/2024","125.32","125.15","125.83","124.21","2.95M","-0.63%"
"12/27/2024","126.11","125.85","126.86","125.35","2.90M","-0.20%"
"12/26/2024","126.36","125.58","127.06","125.44","3.01M","0.08%"
"12/24/2024","126.26","125.21","126.31","124.50","1.58M","0.41%"
"12/23/2024","125.75","125.32","125.93","124.25","3.42M","0.06%"
"12/20/2024","125.68","124.04","126.82","122.01","12.90M","2.47%"
"12/19/2024","122.65","124.07","124.66","122.33","6.39M","-0.94%"
"12/18/2024","123.82","126.90","127.13","123.75","4.85M","-2.75%"
"12/17/2024","127.32","128.00","128.86","126.78","3.55M","-0.96%"
"12/16/2024","128.55","128.58","130.30","128.23","4.52M","-0.16%"
"12/13/2024","128.76","129.03","129.04","127.58","4.28M","-0.17%"
"12/12/2024","128.98","129.26","129.44","127.60","4.98M","-0.11%"
"12/11/2024","129.12","130.33","130.49","128.87","7.49M","-0.84%"
"12/10/2024","130.22","129.30","130.92","128.06","6.42M","1.31%"
"12/09/2024","128.53","126.18","128.79","125.55","6.14M","2.32%"
"12/06/2024","125.61","128.10","128.55","125.41","5.75M","-1.55%"
"12/05/2024","127.59","129.41","129.68","127.45","4.63M","-0.92%"
"12/04/2024","128.78","129.63","129.63","127.80","4.79M","-0.72%"
"12/03/2024","129.71","133.96","134.21","129.51","5.60M","-3.22%"
"12/02/2024","134.02","136.14","136.14","133.14","2.83M","-1.25%"
"11/29/2024","135.72","134.80","136.57","134.64","1.53M","0.03%"
"11/27/2024","135.68","135.16","137.10","135.16","2.45M","0.53%"
"11/26/2024","134.96","137.21","137.59","134.31","3.42M","-1.88%"
"11/25/2024","137.54","135.98","138.67","135.98","5.03M","2.02%"
"11/22/2024","134.82","131.68","135.09","131.68","3.68M","2.63%"
"11/21/2024","131.37","131.77","132.55","131.01","3.01M","-0.55%"
"11/20/2024","132.09","133.38","133.42","130.82","3.85M","-0.83%"
"11/19/2024","133.20","134.74","134.74","132.67","3.84M","-1.43%"
"11/18/2024","135.13","132.30","135.31","132.03","4.04M","0.79%"
"11/15/2024","134.07","132.27","134.11","132.09","3.34M","1.08%"
"11/14/2024","132.64","133.65","133.93","132.04","2.97M","-0.78%"
"11/13/2024","133.68","130.65","134.31","129.80","5.35M","2.72%"
"11/12/2024","130.14","131.93","132.30","130.01","3.24M","-1.12%"
"11/11/2024","131.61","132.66","133.73","131.24","4.68M","-0.63%"
"11/08/2024","132.44","134.11","134.12","132.24","3.11M","-1.27%"
"11/07/2024","134.15","135.15","135.40","134.04","3.08M","0.17%"
"11/06/2024","133.92","135.35","135.79","132.20","5.62M","0.06%"
"11/05/2024","133.84","132.70","133.86","132.07","2.54M","0.63%"
"11/04/2024","133.00","134.36","134.77","132.10","2.42M","-0.78%"
"11/01/2024","134.05","134.58","135.37","133.43","2.27M","-0.01%"
"10/31/2024","134.06","133.65","134.91","133.03","3.30M","0.19%"
"10/30/2024","133.80","134.00","135.32","133.60","2.75M","-0.38%"
"10/29/2024","134.31","134.75","136.07","133.97","3.06M","-0.76%"
"10/28/2024","135.34","137.33","137.79","135.17","4.07M","-1.52%"
"10/25/2024","137.43","138.34","140.33","137.18","4.92M","-0.66%"
"10/24/2024","138.35","145.00","145.01","136.57","11.96M","5.28%"
"10/23/2024","131.41","131.24","132.10","130.54","3.45M","0.06%"
"10/22/2024","131.33","130.82","132.10","129.77","3.28M","0.00%"
"10/21/2024","131.33","133.52","133.85","131.11","4.41M","-3.38%"
"10/18/2024","135.93","136.14","136.45","135.18","3.24M","0.38%"
"10/17/2024","135.41","135.85","136.23","134.98","3.80M","-0.32%"
"10/16/2024","135.84","134.51","136.26","134.51","4.06M","1.52%"
"10/15/2024","133.80","134.94","136.40","133.67","2.96M","-0.57%"
"10/14/2024","134.57","134.00","134.84","133.26","2.32M","-0.02%"
"10/11/2024","134.60","133.27","134.90","133.10","2.43M","1.32%"
"10/10/2024","132.84","132.71","134.08","132.55","2.46M","-0.12%"
"10/09/2024","133.00","131.93","133.45","131.76","2.70M","1.56%"
"10/08/2024","130.96","131.51","131.77","130.50","2.62M","-0.18%"
